Dollars Invested,Investment Name,Current Value,HIGH/LOW,Investment Type,Growth %,Outliers,Row Number,Predicted Value,Normalized Growth,Value Category
70.0,NVIDIA Stock,8700.0,HIGH,Stock,12328.57,High Outlier,1,,1.0,High
90.0,AMD Stock,8800.0,HIGH,Stock,9677.78,High Outlier,2,,0.7851283414744071,High
80.0,Ethereum,6300.0,HIGH,Crypto,7775.0,High Outlier,3,,0.6308899844527919,Medium
100.0,Litecoin,6400.0,HIGH,Crypto,6300.0,High Outlier,4,,0.5113272517107604,Medium
190.0,401K (Vanguard),7000.0,HIGH,Other,3584.21,High Outlier,5,,0.2911867269965356,High
300.0,Samsung Stock,9950.0,HIGH,Stock,3216.67,,6,,0.2613941257816161,High
210.0,401k (Fidelity),6900.0,HIGH,Other,3185.71,,7,,0.25888452428623077,High
230.0,TikTok (ByteDance),7400.0,HIGH,Other,3117.39,,8,,0.2533465406245795,High
240.0,Meta Stock,7300.0,HIGH,Stock,2941.67,,9,,0.2391027688297119,High
310.0,Warner Bros Stock,8200.0,HIGH,Stock,2545.16,,10,,0.20696187448425907,High
320.0,Disney Stock,8100.0,HIGH,Stock,2431.25,,11,,0.19772838913738125,High
360.0,iShares MSCI ETF,9000.0,HIGH,ETF,2400.0,,12,,0.1951952803928467,High
280.0,Dogecoin,6600.0,HIGH,Crypto,2257.14,,13,,0.18361512310503203,Medium
380.0,Vanguard S&P 500 ETF,8900.0,HIGH,ETF,2242.11,,14,,0.1823967991232607,High
150.0,Coca-Cola Stock,3400.0,LOW,Stock,2166.67,,15,,0.1762816719652547,Low
290.0,Bitcoin,6500.0,HIGH,Crypto,2141.38,,16,,0.17423167772047776,Medium
450.0,Apple Stock,9800.0,HIGH,Stock,2077.78,,17,,0.16907629480360103,High
400.0,Cisco Stock,8600.0,HIGH,Stock,2050.0,,18,,0.16682446245405957,High
330.0,Pinterest Stock,6800.0,HIGH,Stock,1960.61,,19,,0.1595785555524933,High
420.0,Intel Stock,8500.0,HIGH,Stock,1923.81,,20,,0.1565955666949294,High
170.0,Johnson & Johnson Stock,3300.0,LOW,Stock,1841.18,,21,,0.1498976218769809,Low
